Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 55
Cycle 5 | Mode: idle | Intellect: 105 | Load: 65
Cycle 1 | Mode: idle | Intellect: 100 | Load: 45
Cycle 2 | Mode: idle | Intellect: 100 | Load: 55
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 50
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 20
Cycle 3 | Mode: idle | Intellect: 100 | Load: 50
Cycle 4 | Mode: idle | Intellect: 100 | Load: 60
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 20
Cycle 3 | Mode: idle | Intellect: 100 | Load: 50
Cycle 4 | Mode: idle | Intellect: 100 | Load: 80
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 100 | Load: 70
Cycle 4 | Mode: idle | Intellect: 100 | Load: 80
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 100 | Load: 70
Cycle 4 | Mode: idle | Intellect: 100 | Load: 80
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 25
Cycle 2 | Mode: idle | Intellect: 100 | Load: 35
Cycle 3 | Mode: idle | Intellect: 100 | Load: 60
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 55
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 55
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 100 | Load: 75
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 55
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 65
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 40
Cycle 1 | Mode: idle | Intellect: 100 | Load: 25
Cycle 2 | Mode: idle | Intellect: 100 | Load: 35
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 55
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 35
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 40
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 50
Cycle 1 | Mode: idle | Intellect: 100 | Load: 45
Cycle 2 | Mode: idle | Intellect: 100 | Load: 55
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 55
Cycle 5 | Mode: idle | Intellect: 105 | Load: 65
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 35
Cycle 3 | Mode: idle | Intellect: 100 | Load: 60
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 40
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 20
Cycle 3 | Mode: idle | Intellect: 100 | Load: 30
Cycle 4 | Mode: idle | Intellect: 100 | Load: 40
Cycle 5 | Mode: idle | Intellect: 100 | Load: 70
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 60
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 50
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 55
Cycle 1 | Mode: idle | Intellect: 100 | Load: 45
Cycle 2 | Mode: idle | Intellect: 100 | Load: 75
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 50
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 55
Cycle 3 | Mode: idle | Intellect: 100 | Load: 65
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 40
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 60
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 55
Cycle 5 | Mode: idle | Intellect: 105 | Load: 80
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 60
Cycle 3 | Mode: idle | Intellect: 100 | Load: 70
Cycle 4 | Mode: idle | Intellect: 100 | Load: 80
Cycle 5 | Mode: idle | Intellect: 105 | Load: 30
Cycle 6 | Mode: idle | Intellect: 105 | Load: 40
Cycle 7 | Mode: idle | Intellect: 105 | Load: 50
Cycle 8 | Mode: idle | Intellect: 105 | Load: 60
Cycle 9 | Mode: idle | Intellect: 105 | Load: 70
Cycle 10 | Mode: idle | Intellect: 110 | Load: 30
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 75
Cycle 3 | Mode: idle | Intellect: 105 | Load: 30
Cycle 4 | Mode: idle | Intellect: 105 | Load: 40
Cycle 5 | Mode: idle | Intellect: 105 | Load: 50
Cycle 6 | Mode: idle | Intellect: 105 | Load: 60
Cycle 7 | Mode: idle | Intellect: 105 | Load: 70
Cycle 8 | Mode: idle | Intellect: 105 | Load: 80
Cycle 9 | Mode: idle | Intellect: 110 | Load: 30
Cycle 10 | Mode: idle | Intellect: 110 | Load: 55
Cycle 1 | Mode: idle | Intellect: 100 | Load: 10
Cycle 2 | Mode: idle | Intellect: 100 | Load: 20
Cycle 3 | Mode: idle | Intellect: 100 | Load: 30
Cycle 4 | Mode: idle | Intellect: 100 | Load: 40
Cycle 5 | Mode: idle | Intellect: 100 | Load: 50
Cycle 1 | Mode: idle | Intellect: 100 | Load: 30
Cycle 2 | Mode: idle | Intellect: 100 | Load: 40
Cycle 3 | Mode: idle | Intellect: 100 | Load: 50
Cycle 4 | Mode: idle | Intellect: 105 | Load: 30
Cycle 5 | Mode: idle | Intellect: 105 | Load: 55
